CCDS release 9,CCDS release 15,X [mutability of noncoding sequence],Y [Tally of unique common noncoding variation],ncRVIS,ncRVIS percentile [Ensembl73] (n=690 WGS),ncGERP      [Average GERP++],ncGERP percentile [Ensembl73],RVIS-CHGV percentile [CCDS r14] (n=690 WGS),RVIS percentile (Petrovski et al 2013),pcGERP percentile [CCDS r14],Used in Table 1,ncCADD     [Average CADD],ncGWAVA [Average GWAVA]
KLF13,KLF13,7.84866E-05,7,-2.873410643,0.239660788,-0.010290973,48.75819693,-,-,78.09806034,No,8.220613099,0.434771115
PRKAR2A,PRKAR2A,6.29129E-05,3,-2.868402322,0.245805936,1.135967699,17.39556978,31.6858458,41.6430762,33.48599138,Yes,6.148597237,0.449865503
ZHX3,ZHX3,9.37445E-05,11,-2.86061457,0.251951085,-0.246806074,61.57897454,14.49942463,39.20736023,43.89547414,Yes,8.522878145,0.48029696
ZNF84,ZNF84,5.08619E-05,0,-2.843697874,0.258096233,-0.302364535,64.5531058,13.79746835,-,81.60560345,No,5.326683041,0.53673396
SESN3,SESN3,8.95412E-05,10,-2.841736299,0.264241381,1.63775045,10.60050602,25.55811277,31.45789101,18.48060345,Yes,8.841086808,0.707002892
BCL7A,BCL7A,8.15879E-05,8,-2.829732504,0.27038653,0.302117705,36.69127898,67.80207135,60.09082331,48.75,Yes,9.122070175,0.519375324
INHBA,INHBA,5.4291E-05,1,-2.818579206,0.276531678,2.338136719,4.781329065,20.36248562,27.68931352,12.71551724,Yes,9.278794393,0.474225381
MARCH6,MARCH6,7.75077E-05,7,-2.817867443,0.282676827,0.415800873,33.27825683,5.79401611,19.54470394,16.75107759,Yes,6.730102937,0.367613668
ZKSCAN1,ZKSCAN1,0.000104447,14,-2.809026631,0.288821975,0.454787158,32.30753343,14.78135788,14.49634348,45.21551724,Yes,5.43568034,0.514585341
GJC1,GJC1,8.07641E-05,8,-2.782988352,0.294967123,0.537316573,30.13373264,59.86766398,44.89266336,24.15409483,Yes,5.697932636,0.61912286
WIPF2,WIPF2,7.67665E-05,7,-2.775813469,0.301112272,1.275909606,15.25274952,20.46029919,55.44939844,26.08836207,Yes,6.950679485,0.521774092
TSHZ2,TSHZ2,0.00011148,16,-2.768866533,0.30725742,2.037202609,6.939639593,22.65247411,9.831328143,42.64008621,Yes,11.78089962,0.385869985
HIC2,HIC2,8.43657E-05,9,-2.767700529,0.313402569,0.686752305,26.1682243,19.09090909,26.85185185,54.67672414,Yes,8.109698764,0.572326714
NUFIP2,NUFIP2,0.000103616,14,-2.761853112,0.319547717,2.71865674,2.912170186,17.44533947,80.96249115,1.002155172,Yes,9.28984388,0.628311501
CMC1,CMC1,6.47881E-05,4,-2.755153884,0.325692865,0.065449792,45.26772345,56.77790564,51.03798066,7.284482759,Yes,8.134592552,0.495981462
MSI2,MSI2,6.07549E-05,3,-2.745991629,0.331838014,2.879775492,2.339030309,26.17376295,63.00424628,13.90086207,Yes,13.9400645,0.617806578
RLIM,RLIM,7.19513E-05,6,-2.722263243,0.337983162,1.877165625,8.256312284,14.99424626,35.74545883,15.625,Yes,6.9819531,0.550577471
CTDSPL2,CTDSPL2,7.17333E-05,6,-2.709896183,0.344128311,3.199652116,1.368306914,24.56271577,51.65723048,1.206896552,Yes,12.40610764,0.603050787
WHSC1L1,WHSC1L1,7.10044E-05,6,-2.668546979,0.350273459,0.801203127,23.61233025,4.217491369,19.93394669,8.507543103,Yes,11.62195533,0.256041104
MEF2C,MEF2C,5.92781E-05,3,-2.662228962,0.356418608,3.86097831,0.278824805,14.21173763,57.99716914,0.199353448,Yes,13.98866046,0.551158198
SETD7,SETD7,8.9848E-05,11,-2.639483136,0.362563756,0.975963192,20.21479837,27.89413119,60.31493277,27.85021552,Yes,8.981370148,0.573686636
ATXN1,ATXN1,0.000105075,15,-2.624973179,0.368708904,2.273637475,5.28218103,54.21749137,20.93654164,42.23060345,Yes,10.38805925,0.659352046
BCL11B,BCL11B,6.24802E-05,4,-2.62424632,0.374854053,2.191409415,5.824340373,-,-,28.04956897,No,9.071727083,0.704902344
PTCHD1,PTCHD1,0.000116576,18,-2.618739554,0.380999201,1.060109368,18.75871328,9.407364787,8.321538099,4.676724138,Yes,5.420931816,0.622498008
ZBTB10,ZBTB10,8.14913E-05,9,-2.604609099,0.38714435,1.707360027,9.887953736,21.68009206,41.90846898,19.4450431,Yes,7.419550204,0.656877402
PPTC7,PPTC7,6.9856E-05,6,-2.603403438,0.393289498,1.812874661,8.906903496,40.08055236,38.2814343,7.456896552,Yes,10.49281744,0.675826599
CREBRF,CREBRF,6.96374E-05,6,-2.591003679,0.399434646,3.427084724,0.857128105,16.90448792,11.67728238,7.693965517,Yes,9.080206968,0.627710843
CRTC1,CRTC1,6.95775E-05,6,-2.587605964,0.405579795,-0.537119294,77.06407807,-,26.85185185,60.45258621,No,5.672048069,0.741774543
PURB,PURB,9.25286E-05,12,-2.57194086,0.411724943,2.478073853,3.950018072,-,-,54.83297414,No,11.92603189,0.5544828
PAWR,PAWR,8.47122E-05,10,-2.567717454,0.417870092,0.301091117,36.72225951,-,-,52.8987069,No,5.943856681,0.5162203
TAOK1,TAOK1,0.000100019,14,-2.557690123,0.42401524,2.647087065,3.227138948,5.120828539,17.16206653,0.856681034,Yes,8.276103141,0.628302459
GNL1,GNL1,8.06414E-05,9,-2.556391329,0.430160388,0.026290982,46.96648939,10.06329114,24.33356924,28.5237069,Yes,7.908796226,0.590356775
RASA4,RASA4,4.54173E-05,0,-2.534935851,0.436305537,-0.095955878,53.15743275,2.405063291,-,73.4375,No,4.490788601,0.594553649
HEMK1,HEMK1,7.25131E-05,7,-2.53451784,0.442450685,-0.170699615,57.27784375,61.81818182,57.15380986,54.58512931,Yes,6.89628455,0.516817652
FAHD2A,FAHD2A,5.69966E-05,3,-2.532836007,0.448595834,-0.288232735,63.77859245,32.9976985,15.61689078,71.39547414,Yes,4.779809759,0.532432166
SOX6,SOX6,7.61741E-05,8,-2.52258098,0.454740982,2.948884037,2.122166572,6.622554661,6.717386176,0.495689655,Yes,7.21823027,0.735061359
FAM84A,FAM84A,7.61002E-05,8,-2.518388885,0.46088613,0.309195998,36.4176176,19.70080552,47.78839349,15.40409483,Yes,8.493876209,0.570423699
PIK3CA,PIK3CA,6.05252E-05,4,-2.513367208,0.467031279,1.962554561,7.523106315,14.9136939,24.19202642,2.780172414,Yes,9.032882324,0.687233971
ISLR2,ISLR2,4.85561E-05,1,-2.493347296,0.473176427,-0.03184178,49.91480353,7.49712313,18.06440198,67.15517241,Yes,8.400631858,0.54528209
POTEI,POTEI,4.43926E-05,0,-2.476833405,0.479321576,-,-,10.97813579,-,-,No,-,-
CNTNAP3B,CNTNAP3B,4.42472E-05,0,-2.468589142,0.485466724,-0.672025988,82.84711107,38.99309551,-,87.63469828,No,5.139689362,0.6471283
ANKRD52,ANKRD52,6.74361E-05,6,-2.466145696,0.491611872,2.287056122,5.158258894,5.258918297,10.03184713,23.59375,Yes,12.28365013,0.42639488
THAP2,THAP2,5.96406E-05,4,-2.463199848,0.497757021,0.519137129,30.55196985,70.76524741,70.05779665,9.224137931,Yes,8.051211719,0.534503637
OCLN,OCLN,5.95972E-05,4,-2.460738603,0.503902169,0.124153433,42.74797336,21.34637514,79.25218212,44.53125,Yes,7.348854741,0.56281838
POLR1A,POLR1A,0.00010599,16,-2.45722197,0.510047318,-0.396325005,69.91273816,4.99424626,60.326728,41.53556034,Yes,4.263893578,0.574249218
BRF1,BRF1,0.000210451,43,-2.456985481,0.516192466,-0.284249612,63.49976765,4.827387802,1.621844775,71.59482759,Yes,7.157370137,0.374768325
MKLN1,MKLN1,0.000104936,16,-2.397402982,0.522337614,0.149091007,41.78757681,11.74913694,25.14744043,2.403017241,Yes,6.882052498,0.616560801
ARL17A,ARL17A,4.27303E-05,0,-2.38258287,0.528482763,-,-,49.76409666,-,85.13469828,No,-,-
CUX1,CUX1,0.000123996,21,-2.380827458,0.534627911,1.239404645,15.78458202,2.094361335,2.011087521,33.49137931,Yes,7.736102816,0.454521518
ST3GAL2,ST3GAL2,7.75453E-05,9,-2.380757111,0.54077306,0.095438492,44.01301182,17.27848101,28.93371078,9.42887931,Yes,7.63532944,0.419039224
ARHGEF6,ARHGEF6,4.65475E-05,1,-2.379456597,0.546918208,1.233486935,15.85170651,10.29919448,83.97617363,10.40409483,Yes,5.121284952,0.631197255
NUDCD2,NUDCD2,9.2942E-05,13,-2.375754777,0.553063356,-0.049602584,50.84938297,46.89873418,30.06605331,3.658405172,Yes,4.252111697,0.199249068
MGAT4A,MGAT4A,7.72634E-05,9,-2.364766991,0.559208505,0.136267465,42.26777508,20.14959724,57.15380986,23.16810345,Yes,7.408313355,0.566494823
ISY1-RAB43,ISY1-RAB43,4.99837E-05,2,-2.354732995,0.565353653,-0.450111184,72.71647648,29.80437284,39.67916962,25.75969828,Yes,5.554774469,0.742836991
FAM156B,FAM156B,4.18183E-05,0,-2.330876064,0.571498802,-0.419452372,71.18810347,50.01726122,-,91.09913793,No,4.199231765,0.583417108
PPM1L,PPM1L,0.000119182,20,-2.327248701,0.57764395,0.088975417,44.27634636,24.02761795,55.21939137,14.21336207,Yes,5.781317487,0.65861543
ERLIN2,ERLIN2,6.4872E-05,6,-2.320726173,0.583789099,0.142366406,42.05091134,32.44533947,22.09247464,13.21659483,Yes,8.320154935,0.582289065
ATL3,ATL3,7.25876E-05,8,-2.319148982,0.589934247,0.053414922,45.8356999,21.99079402,43.57159707,33.35668103,Yes,6.521330553,0.606983493
NHLRC2,NHLRC2,0.000106995,17,-2.29458717,0.596079395,0.018963651,47.27629473,67.0023015,84.6131163,32.04741379,Yes,6.2119902,0.509759763
CDC73,CDC73,4.50045E-05,1,-2.2919723,0.602224544,1.598733496,11.1529922,17.11737629,27.41802312,8.653017241,Yes,6.574106383,0.69609008
FAM84B,FAM84B,6.37618E-05,6,-2.25776792,0.608369692,0.599034556,28.41947643,38.11852704,-,46.26616379,No,8.850396014,0.568526931
PTPN11,PTPN11,5.20624E-05,3,-2.25304246,0.614514841,0.8177583,23.32834203,12.47986191,25.14744043,14.08943966,Yes,8.649364586,0.621184123
MAGT1,MAGT1,4.03082E-05,0,-2.245263188,0.620659989,0.77261715,24.23710435,28.46950518,61.49445624,17.20366379,Yes,5.0926559,0.581740357
ZNF512B,ZNF512B,4.80083E-05,2,-2.242730816,0.626805137,-0.01121955,48.820158,48.41196778,17.49823071,62.41918103,Yes,8.264030416,0.593448809
PCBD2,PCBD2,5.95585E-05,5,-2.238977134,0.632950286,-0.239180177,61.14008365,57.75028769,59.43029016,48.63685345,Yes,4.710667722,0.513690602
NXPE3,NXPE3,7.89006E-05,10,-2.238037474,0.639095434,0.248724613,38.54494759,47.92865362,9.54824251,20.34482759,Yes,6.317528233,0.554998511
ZNF621,ZNF621,7.10175E-05,8,-2.230101501,0.645240583,-0.165762285,56.99385553,28.26812428,15.12149092,83.41056034,Yes,5.529605832,0.448941648
SLC7A6,SLC7A6,5.53746E-05,4,-2.221294145,0.651385731,0.452325583,32.35916766,47.97468354,55.60863411,26.37392241,Yes,4.665606309,0.532180051
ADRBK2,ADRBK2,8.62158E-05,12,-2.213783332,0.657530879,-0.888637299,90.21531471,11.80667434,14.01863647,42.1875,Yes,5.10937967,0.306826923
TP53INP2,TP53INP2,4.35428E-05,1,-2.209102226,0.663676028,1.39320678,13.56431042,-,-,49.57974138,No,7.091639855,0.509020261
FOSL2,FOSL2,6.66883E-05,7,-2.20415963,0.669821176,0.855870664,22.60029948,27.52013809,14.96815287,14.81681034,Yes,7.372912886,0.616752051
RPS6KB1,RPS6KB1,4.73126E-05,2,-2.20328772,0.675966325,2.894678092,2.287396086,19.07364787,22.09247464,0.560344828,Yes,12.84564512,0.627113657
TET3,TET3,8.21325E-05,11,-2.201761755,0.682111473,1.967584815,7.471472092,0.989643268,3.479594244,36.60560345,Yes,14.40865028,0.247351905
SAR1B,SAR1B,7.04909E-05,8,-2.200237078,0.688256621,0.581515986,28.93065524,48.06674338,36.86010852,3.464439655,Yes,6.302795346,0.624731591
KLHL18,KLHL18,4.33244E-05,1,-2.19672057,0.69440177,0.573713952,29.18366293,8.820483314,10.30313753,20.05926724,Yes,8.548231561,0.560127348
SETBP1,SETBP1,6.24848E-05,6,-2.185354394,0.700546918,2.15649662,6.098001756,43.67088608,6.611229063,18.68534483,Yes,7.386876914,0.6531587
CREB5,CREB5,8.1823E-05,11,-2.184206637,0.706692067,2.057865795,6.784736924,15.66168009,15.61689078,3.254310345,Yes,8.515972877,0.67672459
DYRK2,DYRK2,7.40119E-05,9,-2.180349102,0.712837215,1.603485018,11.08070429,36.98504028,18.71903751,19.65517241,Yes,7.555558714,0.45109222
VCPIP1,VCPIP1,7.77107E-05,10,-2.170548816,0.718982363,2.100244139,6.449114473,2.807825086,11.2762444,2.327586207,Yes,6.503244107,0.588134683
MAFG,MAFG,6.59833E-05,7,-2.164180982,0.725127512,0.423764247,33.05106625,-,28.6329323,17.2737069,No,10.80937218,0.489622642
RANBP10,RANBP10,4.65349E-05,2,-2.159196803,0.73127266,1.800860602,9.020498787,8.164556962,11.2762444,2.640086207,Yes,9.65040564,0.543755423
UBE2K,UBE2K,5.38936E-05,4,-2.137323283,0.737417809,1.994786357,7.259771777,46.46144994,57.99716914,0.614224138,Yes,7.760278232,0.543557692
SIKE1,SIKE1,5.76826E-05,5,-2.132610485,0.743562957,0.258833276,38.20416172,41.570771,36.86010852,4.445043103,Yes,6.457041699,0.618485145
ZBTB43,ZBTB43,6.15431E-05,6,-2.131956895,0.749708105,1.366085842,13.86378892,18.32566168,35.98726115,9.665948276,Yes,8.005669232,0.485214225
MED13,MED13,4.21758E-05,1,-2.131605077,0.755853254,3.632006016,0.521505654,0.776754891,4.051663128,1.271551724,Yes,7.529558449,0.56143096
EIF2AK2,EIF2AK2,9.62095E-05,15,-2.121884791,0.761998402,-0.075107047,52.10409459,20.52359033,15.61689078,92.4137931,Yes,5.390521277,0.525161595
TMCC1,TMCC1,4.96771E-05,3,-2.117804268,0.768143551,1.588708847,11.28207776,37.64096663,24.19202642,11.43857759,Yes,7.493862021,0.652473748
KLF7,KLF7,9.60951E-05,15,-2.115394599,0.774288699,2.275868628,5.256363918,26.47871116,25.14744043,3.125,Yes,7.685167294,0.675472139
CELF2,CELF2,7.66961E-05,10,-2.113005815,0.780433847,2.558870356,3.609232199,14.15995397,26.53338051,2.047413793,Yes,8.59274322,0.685610524
AMMECR1,AMMECR1,4.95261E-05,3,-2.109243506,0.786578996,2.931411102,2.168637373,-,46.20193442,4.827586207,No,7.606738908,0.701040438
TNRC6C,TNRC6C,6.88841E-05,8,-2.109116951,0.792724144,1.378616915,13.72437652,6.904487917,3.338051427,27.61853448,Yes,8.669489629,0.613340635
HMGB1,HMGB1,4.9509E-05,3,-2.108274045,0.798869293,1.301663425,14.86549285,47.38780207,38.2814343,4.612068966,Yes,7.240987973,0.609030383
CBL,CBL,9.97741E-05,16,-2.10449611,0.805014441,0.189239392,40.62580678,6.576524741,7.773059684,20.36637931,Yes,8.446754134,0.617604004
IP6K1,IP6K1,4.94235E-05,3,-2.10342675,0.81115959,1.342209246,14.27169928,15.73647871,38.81811748,7.947198276,Yes,9.125041765,0.562193846
WDFY3,WDFY3,4.15458E-05,1,-2.09589074,0.817304738,2.259910428,5.375122631,0.086306099,0.62514744,20.47952586,Yes,8.698587423,0.681114123
MID1,MID1,5.70291E-05,5,-2.095557844,0.823449886,1.123805549,17.57112614,7.928653625,12.77423921,6.066810345,Yes,8.779602267,0.679268974
EPB41L5,EPB41L5,6.47568E-05,7,-2.094632366,0.829595035,-0.583808977,79.21722518,77.69850403,57.47817882,40.31788793,Yes,6.578339398,0.495932276
NDUFAF3,NDUFAF3,4.14431E-05,1,-2.090068809,0.835740183,0.393244433,33.91335777,33.65362486,35.42108988,59.60668103,Yes,7.765799765,0.392037581
HDX,HDX,4.91862E-05,3,-2.089973461,0.841885332,1.099278426,17.98936335,69.33256617,51.91672564,12.8125,Yes,4.966633371,0.689686857
NAT8L,NAT8L,7.23731E-05,9,-2.087410623,0.84803048,-0.289544929,63.85088036,-,-,47.02047414,No,7.015011075,0.686546956
YIPF6,YIPF6,6.46038E-05,7,-2.085956762,0.854175628,0.487290206,31.33164662,42.95742232,49.38664779,33.55064655,Yes,4.569949596,0.535025494
ABI2,ABI2,5.68137E-05,5,-2.083345139,0.860320777,0.663990319,26.76201787,19.43037975,28.6329323,5.183189655,Yes,8.555346096,0.48580347
AFF3,AFF3,5.67326E-05,5,-2.078746975,0.866465925,0.701692169,25.822275,5.074798619,3.886529842,42.48922414,Yes,7.553992188,0.713704355
NBPF15,NBPF15,3.73566E-05,0,-2.077939703,0.872611074,-0.08922874,52.81148345,13.56731876,-,96.41163793,No,1.484432426,0.561648045
AKT1S1,AKT1S1,5.26323E-05,4,-2.065812948,0.878756222,-0.180698449,57.84582021,-,38.81811748,62.1875,No,8.968250071,0.458493888
PTP4A1,PTP4A1,5.63728E-05,5,-2.058347403,0.88490137,1.467262207,12.72267259,48.72266974,47.78839349,0.700431034,Yes,9.022132447,0.605042344
EIF4E3,EIF4E3,6.01834E-05,6,-2.054861067,0.891046519,0.731171678,25.08906903,48.55581128,46.20193442,29.71982759,Yes,9.208339531,0.640922614
C11orf87,C11orf87,6.4042E-05,7,-2.054101326,0.897191667,1.959074882,7.57990396,34.37859609,56.64071715,49.51508621,Yes,8.415843449,0.711044139
PSMD11,PSMD11,4.4665E-05,2,-2.053189783,0.903336816,1.630404865,10.70377446,25.07479862,26.23260203,1.072198276,Yes,10.3275384,0.55280793
MBNL1,MBNL1,6.78864E-05,8,-2.052541537,0.909481964,3.593981833,0.573139877,22.83084005,24.00330267,0.915948276,Yes,13.39573702,0.420332056
RAB43,RAB43,4.44633E-05,2,-2.041755569,0.915627112,-0.413985996,70.91960551,35.96662831,65.33380514,53.5237069,Yes,6.140466372,0.707056946
ATXN1L,ATXN1L,7.15294E-05,9,-2.039565952,0.921772261,2.257568239,5.390612898,27.81933257,83.77565464,10.17241379,Yes,9.921444995,0.469343649
OTP,OTP,4.43384E-05,2,-2.034675125,0.927917409,2.175190942,5.927608819,26.38089758,-,27.30064655,No,7.748800863,0.6376703
BCL11A,BCL11A,3.65797E-05,0,-2.033900679,0.934062558,4.522218073,0.051634223,3.049482163,6.168907761,0.021551724,Yes,8.623767482,0.57836413
ZNF250,ZNF250,5.96995E-05,6,-2.027424653,0.940207706,-0.349769001,67.16063407,15.33947066,13.32861524,76.37392241,Yes,4.559016914,0.531290256
RAD1,RAD1,6.73818E-05,8,-2.023928686,0.946352854,-0.367021637,68.28109671,82.41081703,67.03231894,21.33081897,Yes,5.399797096,0.563563692
STX6,STX6,5.17845E-05,4,-2.017748203,0.952498003,-0.205172961,59.17798317,40.43153049,20.26421326,11.27155172,Yes,10.11896019,0.384638485
C3orf14,C3orf14,4.4037E-05,2,-2.017589215,0.958643151,0.696011611,25.95652398,85.97238205,84.81363529,47.13900862,Yes,10.27339283,0.596928265
RPP25,RPP25,4.01453E-05,1,-2.016499921,0.9647883,0.096054612,43.96654102,29.86191024,-,45.84051724,No,9.807090538,0.676705009
ARHGEF9,ARHGEF9,4.00954E-05,1,-2.013671283,0.970933448,1.415076354,13.31130273,17.56616801,44.89266336,2.715517241,Yes,5.070820432,0.615435735
SSH1,SSH1,7.10399E-05,9,-2.011808117,0.977078596,-0.771044203,86.52346775,5.276179517,28.30856334,71.77801724,Yes,7.197186309,0.555015974
YPEL4,YPEL4,5.16756E-05,4,-2.011574389,0.983223745,0.874461295,22.19238912,49.92520138,52.8544468,8.550646552,Yes,9.801078975,0.64308399
TMEM164,TMEM164,5.16103E-05,4,-2.007872381,0.989368893,0.396611911,33.8049259,32.31300345,44.53880632,5.9375,Yes,7.928101714,0.52332098
EIF2C4,AGO4,5.15911E-05,4,-2.00678389,0.995514042,2.467572453,4.006815717,7.036823936,10.30313753,4.003232759,Yes,8.904523939,0.571256281
GRB2,GRB2,4.76811E-05,3,-2.004647254,1.00165919,0.344644225,35.33329891,39.32105869,44.53880632,3.114224138,Yes,8.055794741,0.401195857
DNAJC18,DNAJC18,5.54222E-05,5,-2.00445261,1.007804338,0.526189302,30.4022306,30.50057537,14.4019816,14.70905172,Yes,7.089837391,0.443752341
MLLT6,MLLT6,5.53504E-05,5,-2.000381949,1.013949487,0.837366084,22.89461455,3.204833142,52.25288983,29.88146552,Yes,10.04342808,0.580953325
TMEM237,TMEM237,4.74602E-05,3,-1.992124509,1.020094635,-0.011347088,48.84081169,62.62945915,74.37485256,42.90948276,Yes,5.490315366,0.557311682
MTF1,MTF1,7.4532E-05,10,-1.990277896,1.026239784,1.68361511,10.11514432,9.614499425,53.98089172,7.149784483,Yes,11.42086417,0.397636702
FAM168B,FAM168B,5.89254E-05,6,-1.983535411,1.032384932,0.539563642,30.05111788,41.69735328,39.67916962,8.502155172,Yes,8.256120103,0.642278635
AFF2,AFF2,0.00010148,17,-1.981654787,1.038530081,1.255737989,15.52641091,6.357882624,7.195093182,30.95905172,Yes,5.917098581,0.589373508
TMTC3,TMTC3,5.49686E-05,5,-1.978736188,1.044675229,0.523257992,30.46935509,61.31760644,63.48785091,12.20366379,Yes,5.256864867,0.641333903
KIAA0895L,KIAA0895L,3.94551E-05,1,-1.97737556,1.050820377,0.611893392,28.12516136,43.38895282,64.51403633,48.21659483,Yes,8.691835714,0.565210385
