Chromosome/scaffold name	Start (bp)	End (bp)	Feature type	Feature type class
GL000225.1	196967	197161	DNase1	Open Chromatin
GL000225.1	33633	34175	DNase1	Open Chromatin
GL000225.1	50851	51543	DNase1	Open Chromatin
GL000225.1	56077	56383	DNase1	Open Chromatin
GL000225.1	66754	67170	DNase1	Open Chromatin
GL000225.1	67258	68167	DNase1	Open Chromatin
GL000225.1	6812	7087	DNase1	Open Chromatin
GL000225.1	85526	85835	DNase1	Open Chromatin
GL000226.1	11126	12301	DNase1	Open Chromatin
GL000226.1	1	989	DNase1	Open Chromatin
GL000226.1	14809	15008	DNase1	Open Chromatin
GL000226.1	1911	3142	DNase1	Open Chromatin
GL000226.1	4343	4996	DNase1	Open Chromatin
GL000226.1	6958	7193	DNase1	Open Chromatin
GL000226.1	7811	9088	DNase1	Open Chromatin
GL000226.1	9175	9571	DNase1	Open Chromatin
GL000226.1	9649	9961	DNase1	Open Chromatin
GL000227.1	114917	115247	DNase1	Open Chromatin
GL000228.1	116995	117961	DNase1	Open Chromatin
GL000228.1	118279	119002	DNase1	Open Chromatin
GL000229.1	18888	19183	DNase1	Open Chromatin
MT	1	16569	DNase1	Open Chromatin
X	100023736	100024087	DNase1	Open Chromatin
X	100074843	100075587	DNase1	Open Chromatin
X	100306473	100307268	DNase1	Open Chromatin
X	100352787	100353301	DNase1	Open Chromatin
X	100645684	100646451	DNase1	Open Chromatin
X	100657786	100658152	DNase1	Open Chromatin
X	100662679	100663830	DNase1	Open Chromatin
X	100673092	100673539	DNase1	Open Chromatin
X	100805266	100805727	DNase1	Open Chromatin
X	100850909	100851409	DNase1	Open Chromatin
X	100872784	100873217	DNase1	Open Chromatin
X	10087426	10087958	DNase1	Open Chromatin
X	100877845	100878315	DNase1	Open Chromatin
X	100897144	100897501	DNase1	Open Chromatin
X	101054353	101054709	DNase1	Open Chromatin
X	101186802	101187375	DNase1	Open Chromatin
X	10133569	10134029	DNase1	Open Chromatin
X	10139306	10139704	DNase1	Open Chromatin
X	10157698	10158057	DNase1	Open Chromatin
X	10158413	10158890	DNase1	Open Chromatin
X	10166242	10166783	DNase1	Open Chromatin
X	10166992	10167748	DNase1	Open Chromatin
X	101854167	101854860	DNase1	Open Chromatin
X	102023911	102024197	DNase1	Open Chromatin
X	102407094	102407492	DNase1	Open Chromatin
X	102469815	102470198	DNase1	Open Chromatin
X	102659462	102659833	DNase1	Open Chromatin
X	102941337	102943171	DNase1	Open Chromatin
X	102985100	102985478	DNase1	Open Chromatin
X	103401161	103402170	DNase1	Open Chromatin
X	103410597	103411288	DNase1	Open Chromatin
X	103588303	103588684	DNase1	Open Chromatin
X	105854875	105855348	DNase1	Open Chromatin
X	106871203	106871868	DNase1	Open Chromatin
X	106916154	106916609	DNase1	Open Chromatin
X	106916959	106918472	DNase1	Open Chromatin
X	106919956	106920678	DNase1	Open Chromatin
X	106922202	106922935	DNase1	Open Chromatin
X	106928033	106928615	DNase1	Open Chromatin
X	106942766	106943320	DNase1	Open Chromatin
X	106944747	106945501	DNase1	Open Chromatin
X	106954110	106956456	DNase1	Open Chromatin
X	106959955	106960679	DNase1	Open Chromatin
X	106975081	106975637	DNase1	Open Chromatin
X	107020388	107020729	DNase1	Open Chromatin
X	107334356	107335149	DNase1	Open Chromatin
X	10829123	10829728	DNase1	Open Chromatin
X	108297263	108297913	DNase1	Open Chromatin
X	108600968	108601311	DNase1	Open Chromatin
X	108605217	108605757	DNase1	Open Chromatin
X	108728978	108729324	DNase1	Open Chromatin
X	108779621	108780879	DNase1	Open Chromatin
X	108956274	108956585	DNase1	Open Chromatin
X	108964227	108964590	DNase1	Open Chromatin
X	108976300	108976913	DNase1	Open Chromatin
X	108983040	108983719	DNase1	Open Chromatin
X	109017946	109018395	DNase1	Open Chromatin
X	109074026	109074542	DNase1	Open Chromatin
X	109083728	109084280	DNase1	Open Chromatin
X	109123775	109124391	DNase1	Open Chromatin
X	109131794	109133157	DNase1	Open Chromatin
X	109245374	109246552	DNase1	Open Chromatin
X	109330071	109331421	DNase1	Open Chromatin
X	109351562	109352195	DNase1	Open Chromatin
X	109561093	109561711	DNase1	Open Chromatin
X	109570559	109570965	DNase1	Open Chromatin
X	110924148	110925441	DNase1	Open Chromatin
X	111022694	111023257	DNase1	Open Chromatin
X	11129150	11130063	DNase1	Open Chromatin
X	111294805	111295416	DNase1	Open Chromatin
X	11131857	11132173	DNase1	Open Chromatin
X	112084616	112085040	DNase1	Open Chromatin
X	11359297	11360437	DNase1	Open Chromatin
X	11368995	11369399	DNase1	Open Chromatin
X	11381178	11381516	DNase1	Open Chromatin
X	11441439	11441888	DNase1	Open Chromatin
X	114733474	114733873	DNase1	Open Chromatin
X	114960166	114961176	DNase1	Open Chromatin
X	114962589	114964096	DNase1	Open Chromatin
X	114965758	114967230	DNase1	Open Chromatin
X	114969076	114970130	DNase1	Open Chromatin
X	114972074	114973054	DNase1	Open Chromatin
X	114975056	114976100	DNase1	Open Chromatin
X	114978023	114979182	DNase1	Open Chromatin
X	114981039	114982076	DNase1	Open Chromatin
X	114984154	114984979	DNase1	Open Chromatin
X	114986493	114988108	DNase1	Open Chromatin
X	114989990	114991024	DNase1	Open Chromatin
X	114992589	114994083	DNase1	Open Chromatin
X	114995564	114996995	DNase1	Open Chromatin
X	114998949	114999929	DNase1	Open Chromatin
X	115001506	115002679	DNase1	Open Chromatin
X	115003994	115005242	DNase1	Open Chromatin
X	115014918	115015238	DNase1	Open Chromatin
X	115057095	115057608	DNase1	Open Chromatin
X	11551257	11551649	DNase1	Open Chromatin
X	117479674	117480683	DNase1	Open Chromatin
X	117629248	117629924	DNase1	Open Chromatin
X	117630286	117630831	DNase1	Open Chromatin
X	117664455	117664852	DNase1	Open Chromatin
X	11775680	11776893	DNase1	Open Chromatin
X	117764780	117765197	DNase1	Open Chromatin
X	11777442	11777867	DNase1	Open Chromatin
X	11777958	11778467	DNase1	Open Chromatin
X	117832443	117833275	DNase1	Open Chromatin
X	117848480	117848936	DNase1	Open Chromatin
X	117851555	117852390	DNase1	Open Chromatin
X	117852481	117853199	DNase1	Open Chromatin
X	117886309	117886811	DNase1	Open Chromatin
X	117973220	117973706	DNase1	Open Chromatin
X	118108355	118108738	DNase1	Open Chromatin
X	118109888	118110941	DNase1	Open Chromatin
X	118112422	118112835	DNase1	Open Chromatin
X	118149246	118150110	DNase1	Open Chromatin
X	118150988	118151414	DNase1	Open Chromatin
X	118175194	118175592	DNase1	Open Chromatin
X	118370049	118370507	DNase1	Open Chromatin
X	118557657	118557941	DNase1	Open Chromatin
X	118602010	118602602	DNase1	Open Chromatin
X	118602673	118603406	DNase1	Open Chromatin
X	118634917	118635291	DNase1	Open Chromatin
X	118699163	118699658	DNase1	Open Chromatin
X	118708200	118709010	DNase1	Open Chromatin
X	118740190	118740979	DNase1	Open Chromatin
X	118752384	118752833	DNase1	Open Chromatin
X	118772584	118773123	DNase1	Open Chromatin
X	118774605	118775236	DNase1	Open Chromatin
X	118789075	118789599	DNase1	Open Chromatin
X	118819111	118820030	DNase1	Open Chromatin
X	118824693	118825149	DNase1	Open Chromatin
X	118826971	118827709	DNase1	Open Chromatin
X	118863694	118864229	DNase1	Open Chromatin
X	118909461	118909955	DNase1	Open Chromatin
X	118916947	118917499	DNase1	Open Chromatin
X	118924871	118926268	DNase1	Open Chromatin
X	118986775	118987388	DNase1	Open Chromatin
X	119005178	119006334	DNase1	Open Chromatin
X	119021621	119022003	DNase1	Open Chromatin
X	119032943	119033460	DNase1	Open Chromatin
X	119077091	119077957	DNase1	Open Chromatin
X	119169890	119170394	DNase1	Open Chromatin
X	119378948	119379319	DNase1	Open Chromatin
X	119384277	119385041	DNase1	Open Chromatin
X	119403217	119403827	DNase1	Open Chromatin
X	119436278	119436661	DNase1	Open Chromatin
X	119443276	119443780	DNase1	Open Chromatin
X	119602882	119603418	DNase1	Open Chromatin
X	119619455	119620315	DNase1	Open Chromatin
X	119631804	119632218	DNase1	Open Chromatin
X	119694616	119695667	DNase1	Open Chromatin
X	119737582	119738202	DNase1	Open Chromatin
X	119738378	119738735	DNase1	Open Chromatin
X	119763629	119764341	DNase1	Open Chromatin
X	119770356	119770711	DNase1	Open Chromatin
X	120181705	120182090	DNase1	Open Chromatin
X	122866754	122867259	DNase1	Open Chromatin
X	122964227	122964588	DNase1	Open Chromatin
X	122993338	122994723	DNase1	Open Chromatin
X	123003244	123003930	DNase1	Open Chromatin
X	123093923	123094707	DNase1	Open Chromatin
X	123095048	123095816	DNase1	Open Chromatin
X	123096523	123097273	DNase1	Open Chromatin
X	123105931	123106273	DNase1	Open Chromatin
X	124427640	124428155	DNase1	Open Chromatin
X	125606223	125606867	DNase1	Open Chromatin
X	12789594	12789904	DNase1	Open Chromatin
X	128737847	128738304	DNase1	Open Chromatin
X	128771535	128771807	DNase1	Open Chromatin
X	128865085	128865662	DNase1	Open Chromatin
X	128871839	128872296	DNase1	Open Chromatin
X	128891948	128892669	DNase1	Open Chromatin
X	128893596	128894467	DNase1	Open Chromatin
X	128906632	128907379	DNase1	Open Chromatin
X	128911183	128911656	DNase1	Open Chromatin
X	128913572	128914077	DNase1	Open Chromatin
X	128915094	128915692	DNase1	Open Chromatin
X	128942808	128943200	DNase1	Open Chromatin
X	128977724	128978325	DNase1	Open Chromatin
X	129039800	129040288	DNase1	Open Chromatin
X	129059350	129060000	DNase1	Open Chromatin
X	129065310	129066631	DNase1	Open Chromatin
X	129091005	129091699	DNase1	Open Chromatin
X	129095278	129095730	DNase1	Open Chromatin
X	129116158	129116776	DNase1	Open Chromatin
X	129130904	129131428	DNase1	Open Chromatin
X	129158073	129158504	DNase1	Open Chromatin
X	129194360	129195011	DNase1	Open Chromatin
X	129216172	129217145	DNase1	Open Chromatin
X	129217995	129218438	DNase1	Open Chromatin
X	129218475	129218945	DNase1	Open Chromatin
X	129220767	129221592	DNase1	Open Chromatin
X	129223368	129224071	DNase1	Open Chromatin
X	129225531	129226034	DNase1	Open Chromatin
X	129226048	129226534	DNase1	Open Chromatin
X	129243010	129243461	DNase1	Open Chromatin
X	129244320	129245182	DNase1	Open Chromatin
X	12924520	12924917	DNase1	Open Chromatin
X	129254652	129255315	DNase1	Open Chromatin
X	129299238	129300404	DNase1	Open Chromatin
X	129304807	129305194	DNase1	Open Chromatin
X	129307209	129307868	DNase1	Open Chromatin
X	12937144	12937568	DNase1	Open Chromatin
X	129402495	129403155	DNase1	Open Chromatin
X	129535727	129536188	DNase1	Open Chromatin
X	129547406	129547763	DNase1	Open Chromatin
X	12964835	12965289	DNase1	Open Chromatin
X	12968102	12968787	DNase1	Open Chromatin
X	12974031	12975393	DNase1	Open Chromatin
X	12988767	12989150	DNase1	Open Chromatin
X	12991698	12994583	DNase1	Open Chromatin
X	130037014	130037594	DNase1	Open Chromatin
X	13020146	13020454	DNase1	Open Chromatin
X	13023637	13024687	DNase1	Open Chromatin
X	13031827	13032327	DNase1	Open Chromatin
X	13033889	13034409	DNase1	Open Chromatin
X	130838115	130838793	DNase1	Open Chromatin
X	130838933	130839349	DNase1	Open Chromatin
X	130844952	130845444	DNase1	Open Chromatin
X	130862245	130863756	DNase1	Open Chromatin
X	130868680	130869031	DNase1	Open Chromatin
X	130874916	130876215	DNase1	Open Chromatin
X	130880365	130881056	DNase1	Open Chromatin
X	130881120	130881556	DNase1	Open Chromatin
X	130886417	130887628	DNase1	Open Chromatin
X	130896694	130897196	DNase1	Open Chromatin
X	130897732	130898146	DNase1	Open Chromatin
X	130902152	130902811	DNase1	Open Chromatin
X	130912530	130913164	DNase1	Open Chromatin
X	130913837	130914185	DNase1	Open Chromatin
X	130917568	130917994	DNase1	Open Chromatin
X	130926248	130927699	DNase1	Open Chromatin
X	130936815	130937472	DNase1	Open Chromatin
X	130946829	130947584	DNase1	Open Chromatin
X	130950525	130951422	DNase1	Open Chromatin
X	13095256	13095793	DNase1	Open Chromatin
X	130956036	130956781	DNase1	Open Chromatin
X	130964584	130965335	DNase1	Open Chromatin
X	130984960	130985364	DNase1	Open Chromatin
X	13099661	13100263	DNase1	Open Chromatin
X	13105169	13106180	DNase1	Open Chromatin
X	13108227	13109647	DNase1	Open Chromatin
X	13110494	13111144	DNase1	Open Chromatin
X	131121242	131121675	DNase1	Open Chromatin
X	131157091	131157516	DNase1	Open Chromatin
X	131158054	131158481	DNase1	Open Chromatin
X	13119751	13120286	DNase1	Open Chromatin
X	13128945	13129235	DNase1	Open Chromatin
X	131350773	131351198	DNase1	Open Chromatin
X	131351209	131351940	DNase1	Open Chromatin
X	131351978	131352530	DNase1	Open Chromatin
X	131353335	131353698	DNase1	Open Chromatin
X	13146206	13146694	DNase1	Open Chromatin
X	13149921	13150411	DNase1	Open Chromatin
X	131577770	131578119	DNase1	Open Chromatin
X	131622291	131622705	DNase1	Open Chromatin
X	131622778	131623626	DNase1	Open Chromatin
X	131625234	131625638	DNase1	Open Chromatin
X	1324570	1325643	DNase1	Open Chromatin
X	132548330	132548669	DNase1	Open Chromatin
X	132678019	132678665	DNase1	Open Chromatin
X	132680432	132680947	DNase1	Open Chromatin
X	132689728	132690159	DNase1	Open Chromatin
X	1327217	1327776	DNase1	Open Chromatin
X	132780148	132781146	DNase1	Open Chromatin
X	1331376	1331864	DNase1	Open Chromatin
X	13323180	13323592	DNase1	Open Chromatin
X	1333906	1334444	DNase1	Open Chromatin
X	133502048	133502680	DNase1	Open Chromatin
X	133506961	133507558	DNase1	Open Chromatin
X	133594061	133594435	DNase1	Open Chromatin
X	133805309	133805821	DNase1	Open Chromatin
X	133931026	133931503	DNase1	Open Chromatin
X	133940904	133941454	DNase1	Open Chromatin
X	134049051	134049640	DNase1	Open Chromatin
X	134124836	134125222	DNase1	Open Chromatin
X	1341379	1342440	DNase1	Open Chromatin
X	134137981	134138549	DNase1	Open Chromatin
X	134166076	134166751	DNase1	Open Chromatin
X	134185934	134186582	DNase1	Open Chromatin
X	134232703	134233174	DNase1	Open Chromatin
X	134477793	134478314	DNase1	Open Chromatin
X	134478394	134478895	DNase1	Open Chromatin
X	134555507	134555910	DNase1	Open Chromatin
X	134621873	134622281	DNase1	Open Chromatin
X	134654267	134654899	DNase1	Open Chromatin
X	134655386	134656094	DNase1	Open Chromatin
X	135055678	135056738	DNase1	Open Chromatin
X	13509205	13509554	DNase1	Open Chromatin
X	135241664	135242026	DNase1	Open Chromatin
X	135578797	135579784	DNase1	Open Chromatin
X	135792486	135792831	DNase1	Open Chromatin
X	1358473	1359124	DNase1	Open Chromatin
X	135849335	135850172	DNase1	Open Chromatin
X	135850501	135851162	DNase1	Open Chromatin
X	135861124	135861910	DNase1	Open Chromatin
X	135938704	135939182	DNase1	Open Chromatin
X	135962623	135963238	DNase1	Open Chromatin
X	135991119	135991912	DNase1	Open Chromatin
X	135992024	135992750	DNase1	Open Chromatin
X	1365613	1366056	DNase1	Open Chromatin
X	13665777	13666265	DNase1	Open Chromatin
X	13670949	13671777	DNase1	Open Chromatin
X	1367129	1367639	DNase1	Open Chromatin
X	13676806	13677646	DNase1	Open Chromatin
X	1368147	1368892	DNase1	Open Chromatin
X	13683117	13683527	DNase1	Open Chromatin
X	13687328	13687818	DNase1	Open Chromatin
X	13706912	13707735	DNase1	Open Chromatin
X	13715572	13716025	DNase1	Open Chromatin
X	13752348	13753213	DNase1	Open Chromatin
X	13772881	13773291	DNase1	Open Chromatin
X	138007500	138007974	DNase1	Open Chromatin
X	138064532	138064958	DNase1	Open Chromatin
X	138159483	138160582	DNase1	Open Chromatin
X	138195829	138196180	DNase1	Open Chromatin
X	1387375	1387968	DNase1	Open Chromatin
X	139014960	139015971	DNase1	Open Chromatin
X	139139159	139139432	DNase1	Open Chromatin
X	1392655	1393440	DNase1	Open Chromatin
X	1393542	1394091	DNase1	Open Chromatin
X	1400459	1400800	DNase1	Open Chromatin
X	14045744	14046192	DNase1	Open Chromatin
X	14047771	14048288	DNase1	Open Chromatin
X	14057508	14057857	DNase1	Open Chromatin
X	143268328	143268639	DNase1	Open Chromatin
X	1435345	1435928	DNase1	Open Chromatin
X	1439045	1439583	DNase1	Open Chromatin
X	1441273	1441663	DNase1	Open Chromatin
X	1442091	1442527	DNase1	Open Chromatin
X	1451838	1452294	DNase1	Open Chromatin
X	1452893	1453434	DNase1	Open Chromatin
X	1455058	1455750	DNase1	Open Chromatin
X	1460672	1461133	DNase1	Open Chromatin
X	146993080	146993617	DNase1	Open Chromatin
X	147462131	147462581	DNase1	Open Chromatin
X	147462609	147463131	DNase1	Open Chromatin
X	147653874	147654264	DNase1	Open Chromatin
X	14837842	14838402	DNase1	Open Chromatin
X	148470	149017	DNase1	Open Chromatin
X	148584865	148585470	DNase1	Open Chromatin
X	148585648	148586178	DNase1	Open Chromatin
X	148586480	148587123	DNase1	Open Chromatin
X	148606844	148607424	DNase1	Open Chromatin
X	148613052	148613450	DNase1	Open Chromatin
X	148620680	148622773	DNase1	Open Chromatin
X	14891018	14891745	DNase1	Open Chromatin
X	149106475	149109078	DNase1	Open Chromatin
X	149231956	149232284	DNase1	Open Chromatin
X	149369029	149369743	DNase1	Open Chromatin
X	149371007	149371836	DNase1	Open Chromatin
X	149531239	149531674	DNase1	Open Chromatin
X	149736601	149737329	DNase1	Open Chromatin
X	149737353	149737899	DNase1	Open Chromatin
X	149864779	149865113	DNase1	Open Chromatin
X	150009905	150010267	DNase1	Open Chromatin
X	150066912	150067663	DNase1	Open Chromatin
X	150067924	150068304	DNase1	Open Chromatin
X	150151509	150151902	DNase1	Open Chromatin
X	150564672	150565860	DNase1	Open Chromatin
X	1510404	1511938	DNase1	Open Chromatin
X	151999104	151999701	DNase1	Open Chromatin
X	152084021	152084532	DNase1	Open Chromatin
X	152109950	152110538	DNase1	Open Chromatin
X	152127172	152127781	DNase1	Open Chromatin
X	152200741	152201362	DNase1	Open Chromatin
X	152252117	152252632	DNase1	Open Chromatin
X	152371814	152372249	DNase1	Open Chromatin
X	152438480	152438963	DNase1	Open Chromatin
X	152558988	152559363	DNase1	Open Chromatin
X	152599305	152599796	DNase1	Open Chromatin
X	152735583	152736632	DNase1	Open Chromatin
X	152772998	152773358	DNase1	Open Chromatin
X	152820288	152820569	DNase1	Open Chromatin
X	152848378	152848725	DNase1	Open Chromatin
X	152864594	152865037	DNase1	Open Chromatin
X	152933382	152933711	DNase1	Open Chromatin
X	152973864	152974279	DNase1	Open Chromatin
X	152989704	152990517	DNase1	Open Chromatin
X	152991524	152992712	DNase1	Open Chromatin
X	152997727	152998223	DNase1	Open Chromatin
X	153029427	153029799	DNase1	Open Chromatin
X	153058747	153059109	DNase1	Open Chromatin
X	153059412	153060309	DNase1	Open Chromatin
X	153166206	153166762	DNase1	Open Chromatin
X	153189509	153189907	DNase1	Open Chromatin
X	153191837	153192608	DNase1	Open Chromatin
X	153192619	153193303	DNase1	Open Chromatin
X	153193417	153194275	DNase1	Open Chromatin
X	15319944	15320507	DNase1	Open Chromatin
X	153209915	153210286	DNase1	Open Chromatin
X	153212542	153213155	DNase1	Open Chromatin
X	153218791	153219114	DNase1	Open Chromatin
X	153235950	153238576	DNase1	Open Chromatin
X	153247124	153247584	DNase1	Open Chromatin
X	153248588	153249463	DNase1	Open Chromatin
X	153249909	153250398	DNase1	Open Chromatin
X	153267557	153268289	DNase1	Open Chromatin
X	153275733	153276290	DNase1	Open Chromatin
X	153285188	153287109	DNase1	Open Chromatin
X	153305633	153306411	DNase1	Open Chromatin
X	153308450	153308851	DNase1	Open Chromatin
X	153322100	153322526	DNase1	Open Chromatin
X	153323235	153323594	DNase1	Open Chromatin
X	153362990	153363639	DNase1	Open Chromatin
X	15339586	15340011	DNase1	Open Chromatin
X	153401993	153402753	DNase1	Open Chromatin
X	153437791	153439402	DNase1	Open Chromatin
X	153474905	153476544	DNase1	Open Chromatin
X	153512681	153514288	DNase1	Open Chromatin
X	153529177	153529606	DNase1	Open Chromatin
X	15353449	15354529	DNase1	Open Chromatin
X	153536628	153537054	DNase1	Open Chromatin
X	153562110	153562751	DNase1	Open Chromatin
X	153569426	153572558	DNase1	Open Chromatin
X	153572669	153573285	DNase1	Open Chromatin
X	153575348	153575969	DNase1	Open Chromatin
X	153596654	153598781	DNase1	Open Chromatin
X	153599184	153600235	DNase1	Open Chromatin
X	153606404	153607936	DNase1	Open Chromatin
X	153613080	153613751	DNase1	Open Chromatin
X	153615576	153616156	DNase1	Open Chromatin
X	153616359	153619413	DNase1	Open Chromatin
X	153625834	153627458	DNase1	Open Chromatin
X	153637354	153638098	DNase1	Open Chromatin
X	153639665	153640080	DNase1	Open Chromatin
X	153656671	153657175	DNase1	Open Chromatin
X	153659183	153660159	DNase1	Open Chromatin
X	153672266	153672879	DNase1	Open Chromatin
X	153706981	153708005	DNase1	Open Chromatin
X	153712914	153713319	DNase1	Open Chromatin
X	153718301	153718690	DNase1	Open Chromatin
X	153718841	153719530	DNase1	Open Chromatin
X	153744291	153745268	DNase1	Open Chromatin
X	153755292	153755814	DNase1	Open Chromatin
X	153762904	153763400	DNase1	Open Chromatin
X	153770038	153771898	DNase1	Open Chromatin
X	153774903	153776112	DNase1	Open Chromatin
X	153946784	153947298	DNase1	Open Chromatin
X	153947502	153948056	DNase1	Open Chromatin
X	153960186	153960523	DNase1	Open Chromatin
X	153966246	153966681	DNase1	Open Chromatin
X	153990654	153991500	DNase1	Open Chromatin
X	154027276	154028049	DNase1	Open Chromatin
X	154028809	154029511	DNase1	Open Chromatin
X	154030358	154030785	DNase1	Open Chromatin
X	154033549	154034088	DNase1	Open Chromatin
X	154112327	154112745	DNase1	Open Chromatin
X	154209142	154209441	DNase1	Open Chromatin
X	154254786	154255925	DNase1	Open Chromatin
X	154256002	154256351	DNase1	Open Chromatin
X	154299190	154300483	DNase1	Open Chromatin
X	154444251	154444951	DNase1	Open Chromatin
X	154470641	154471059	DNase1	Open Chromatin
X	154603551	154604083	DNase1	Open Chromatin
X	154609428	154609869	DNase1	Open Chromatin
X	154690160	154690603	DNase1	Open Chromatin
X	154695987	154696473	DNase1	Open Chromatin
X	15486092	15486576	DNase1	Open Chromatin
X	15489172	15489633	DNase1	Open Chromatin
X	154998051	154998575	DNase1	Open Chromatin
X	155070931	155071392	DNase1	Open Chromatin
X	155110728	155111187	DNase1	Open Chromatin
X	155258180	155258930	DNase1	Open Chromatin
X	155259809	155260527	DNase1	Open Chromatin
X	15692531	15694080	DNase1	Open Chromatin
X	15705218	15705547	DNase1	Open Chromatin
X	1571342	1573481	DNase1	Open Chromatin
X	15755910	15756566	DNase1	Open Chromatin
X	15763266	15763783	DNase1	Open Chromatin
X	15767836	15768420	DNase1	Open Chromatin
X	15803491	15803842	DNase1	Open Chromatin
X	15805055	15805520	DNase1	Open Chromatin
X	15808309	15809471	DNase1	Open Chromatin
X	15822561	15823114	DNase1	Open Chromatin
X	1586015	1586398	DNase1	Open Chromatin
X	1587226	1587605	DNase1	Open Chromatin
X	15872740	15873879	DNase1	Open Chromatin
X	15901170	15901683	DNase1	Open Chromatin
X	15921180	15921893	DNase1	Open Chromatin
X	15929744	15930420	DNase1	Open Chromatin
X	15934324	15934758	DNase1	Open Chromatin
X	15957825	15958260	DNase1	Open Chromatin
X	1600535	1601439	DNase1	Open Chromatin
X	16116648	16117456	DNase1	Open Chromatin
X	1613036	1613514	DNase1	Open Chromatin
X	16131912	16132674	DNase1	Open Chromatin
X	16137413	16138310	DNase1	Open Chromatin
X	16141364	16141744	DNase1	Open Chromatin
X	16203745	16204237	DNase1	Open Chromatin
X	1623091	1623651	DNase1	Open Chromatin
X	1623861	1624460	DNase1	Open Chromatin
X	1625341	1625704	DNase1	Open Chromatin
X	1626455	1627290	DNase1	Open Chromatin
X	1636322	1636740	DNase1	Open Chromatin
X	1640396	1640912	DNase1	Open Chromatin
X	16502418	16502886	DNase1	Open Chromatin
