Chromosome/scaffold name	Start (bp)	End (bp)	Feature type
12	101072965	101073152	TF binding site
1	54372995	54373451	TF binding site
10	72785380	72785614	TF binding site
15	77107763	77108107	TF binding site
6	57006516	57006995	TF binding site
16	87149239	87149627	TF binding site
1	47639457	47639987	TF binding site
1	4325800	4326429	TF binding site
6	170437894	170438189	TF binding site
7	30756862	30757243	TF binding site
5	18653556	18653860	TF binding site
19	49074619	49075199	TF binding site
11	43536626	43536907	TF binding site
3	147102467	147102892	TF binding site
15	64434394	64434632	TF binding site
21	46906033	46906242	TF binding site
6	145631208	145631542	TF binding site
16	18446602	18447034	TF binding site
18	11728393	11728580	TF binding site
5	128414283	128414681	TF binding site
10	103017948	103018414	TF binding site
8	139115072	139115384	TF binding site
18	50551567	50551950	TF binding site
5	134632508	134633081	TF binding site
7	113044398	113044668	TF binding site
10	77110636	77110902	TF binding site
19	6473683	6474084	TF binding site
6	74349203	74349577	TF binding site
14	91639532	91639950	TF binding site
4	34336913	34337144	TF binding site
9	77311480	77311760	TF binding site
19	48510064	48510343	TF binding site
16	49982059	49982515	TF binding site
14	30912671	30912943	TF binding site
7	65786106	65786724	TF binding site
11	28013358	28013607	TF binding site
11	496607	497358	TF binding site
9	140986424	140986913	TF binding site
4	26253959	26254453	TF binding site
2	30608235	30608544	TF binding site
13	42958458	42958796	TF binding site
14	21110976	21111238	TF binding site
20	14745292	14745934	TF binding site
3	163261310	163262154	TF binding site
7	128341513	128341890	TF binding site
3	81631061	81631487	TF binding site
18	19649896	19650260	TF binding site
12	25454827	25455072	TF binding site
9	23254475	23254738	TF binding site
18	76736879	76737206	TF binding site
3	121574471	121574737	TF binding site
19	3612691	3613396	TF binding site
14	46719364	46719598	TF binding site
15	84961395	84961853	TF binding site
5	179037168	179037774	TF binding site
4	55059081	55059388	TF binding site
17	30125370	30125778	TF binding site
14	95741248	95741581	TF binding site
10	15483749	15484606	TF binding site
20	54207824	54208080	TF binding site
14	94115178	94115527	TF binding site
17	46811384	46811692	TF binding site
1	1269622	1270752	TF binding site
1	169050824	169051079	TF binding site
10	128206505	128208161	TF binding site
GL000225.1	10508	12390	TF binding site
5	79091566	79092108	TF binding site
21	18235846	18236203	TF binding site
16	67956158	67956684	TF binding site
11	109567903	109568272	TF binding site
20	53149194	53149648	TF binding site
15	81361848	81362735	TF binding site
11	29286902	29287782	TF binding site
13	46613680	46613894	TF binding site
6	79966477	79966817	TF binding site
13	37456868	37457837	TF binding site
6	42058988	42059274	TF binding site
1	179774998	179775292	TF binding site
20	21058128	21059227	TF binding site
20	55091127	55091395	TF binding site
3	141177763	141178297	TF binding site
3	64131049	64131656	TF binding site
3	63218449	63218897	TF binding site
3	149205441	149205723	TF binding site
7	106658196	106658932	TF binding site
14	105725134	105725625	TF binding site
15	29741467	29741720	TF binding site
17	59950968	59951700	TF binding site
2	90126698	90127008	TF binding site
10	97421544	97421991	TF binding site
3	188236299	188237116	TF binding site
17	57132745	57133056	TF binding site
20	40517868	40518135	TF binding site
17	60758517	60759682	TF binding site
19	24324334	24324861	TF binding site
17	44888157	44888478	TF binding site
4	7799906	7800386	TF binding site
20	60841352	60841786	TF binding site
12	88994041	88994443	TF binding site
X	63313702	63313965	TF binding site
3	148169799	148170133	TF binding site
8	8908715	8909108	TF binding site
12	127211107	127211321	TF binding site
4	85424998	85425403	TF binding site
1	46946494	46946985	TF binding site
X	101213054	101213460	TF binding site
3	129283733	129284221	TF binding site
17	46706815	46707069	TF binding site
19	49094393	49094646	TF binding site
12	89528069	89528316	TF binding site
14	100504419	100504873	TF binding site
5	34841935	34842196	TF binding site
4	119362829	119363055	TF binding site
12	58376877	58377249	TF binding site
6	151944151	151944275	TF binding site
10	102906359	102906720	TF binding site
22	22225658	22226114	TF binding site
1	216466852	216467481	TF binding site
20	31980837	31981319	TF binding site
15	76622604	76623007	TF binding site
10	44065133	44065583	TF binding site
3	64412191	64412601	TF binding site
15	84691332	84691652	TF binding site
GL000234.1	38152	38228	TF binding site
17	59700787	59701034	TF binding site
11	87612145	87612747	TF binding site
15	100888841	100889045	TF binding site
7	128038565	128039222	TF binding site
12	95976290	95976555	TF binding site
11	84593177	84593463	TF binding site
14	39186058	39186399	TF binding site
1	176827865	176828096	TF binding site
9	41921759	41922229	TF binding site
12	16645783	16646415	TF binding site
21	42091569	42091859	TF binding site
9	70865645	70866106	TF binding site
8	118777562	118777823	TF binding site
3	35305019	35305293	TF binding site
20	53424623	53425499	TF binding site
12	70955272	70955730	TF binding site
17	9531857	9532200	TF binding site
16	1746905	1747176	TF binding site
3	96756197	96756794	TF binding site
12	75739939	75740359	TF binding site
5	131649453	131650457	TF binding site
1	146050964	146051194	TF binding site
6	28655216	28656119	TF binding site
1	13038514	13038892	TF binding site
4	56536784	56537168	TF binding site
2	18871614	18871994	TF binding site
18	50162978	50163296	TF binding site
11	77767129	77767382	TF binding site
5	153862158	153862448	TF binding site
1	183614641	183614930	TF binding site
2	86902764	86903222	TF binding site
2	153703671	153703857	TF binding site
GL000225.1	136797	139562	TF binding site
11	99881157	99881466	TF binding site
19	15791782	15792149	TF binding site
1	261739	262390	TF binding site
5	109956299	109956548	TF binding site
10	132358423	132358692	TF binding site
17	73068090	73068492	TF binding site
10	92742140	92742591	TF binding site
GL000216.1	60445	60977	TF binding site
4	110345620	110345963	TF binding site
11	43415503	43415943	TF binding site
4	161752744	161753075	TF binding site
15	90412232	90412511	TF binding site
14	86457553	86457863	TF binding site
5	33297839	33298445	TF binding site
11	5268284	5268584	TF binding site
6	28722119	28722844	TF binding site
12	58204217	58204667	TF binding site
20	52912283	52912470	TF binding site
4	4874227	4874669	TF binding site
Y	14170522	14170911	TF binding site
17	62530289	62530637	TF binding site
18	53331207	53331571	TF binding site
1	236673325	236673639	TF binding site
13	102438251	102438599	TF binding site
15	89357717	89358023	TF binding site
11	755267	755793	TF binding site
5	44576478	44576836	TF binding site
1	200232193	200232715	TF binding site
10	25673604	25673881	TF binding site
2	201387930	201388205	TF binding site
2	72222237	72222603	TF binding site
12	58641474	58641757	TF binding site
4	188929289	188929909	TF binding site
1	204715909	204716356	TF binding site
20	43085655	43086134	TF binding site
3	16531433	16532185	TF binding site
10	135422484	135422659	TF binding site
3	55631434	55632285	TF binding site
X	62412282	62412640	TF binding site
11	18101959	18102290	TF binding site
15	20845700	20846055	TF binding site
21	44538813	44539091	TF binding site
9	72100425	72100734	TF binding site
16	76871796	76872079	TF binding site
11	36644368	36644665	TF binding site
22	43845104	43845507	TF binding site
7	75175597	75176132	TF binding site
6	146791646	146791917	TF binding site
16	67982003	67982359	TF binding site
1	12882461	12882710	TF binding site
17	71268725	71269515	TF binding site
1	20857362	20857963	TF binding site
5	6302358	6302617	TF binding site
X	72666767	72667012	TF binding site
17	71773156	71773411	TF binding site
1	209763848	209764115	TF binding site
10	32325841	32326353	TF binding site
6	100353381	100353730	TF binding site
15	28806638	28807081	TF binding site
7	155243463	155243831	TF binding site
8	11213054	11213543	TF binding site
16	69359265	69359406	TF binding site
8	39379812	39380291	TF binding site
1	227694609	227694939	TF binding site
9	90897303	90897597	TF binding site
4	96636962	96637451	TF binding site
4	41754778	41754956	TF binding site
2	35424434	35424706	TF binding site
1	107695609	107696042	TF binding site
6	34551124	34551481	TF binding site
20	52787221	52787493	TF binding site
1	240973239	240973930	TF binding site
10	104889805	104890296	TF binding site
4	155581175	155581702	TF binding site
6	167722969	167724579	TF binding site
16	14171646	14172093	TF binding site
7	71895521	71895808	TF binding site
14	19594581	19595115	TF binding site
5	78715985	78716823	TF binding site
6	137812465	137812536	TF binding site
2	73522924	73523236	TF binding site
19	33682962	33683311	TF binding site
7	120684969	120685496	TF binding site
20	45812658	45812988	TF binding site
1	180064136	180064203	TF binding site
15	95181489	95181764	TF binding site
2	231912232	231912848	TF binding site
1	29058468	29058748	TF binding site
20	53231465	53231823	TF binding site
7	23092283	23092630	TF binding site
4	102842472	102842947	TF binding site
11	129751546	129751811	TF binding site
12	31613041	31613327	TF binding site
12	81912439	81912720	TF binding site
12	54342600	54344037	TF binding site
10	125312613	125313030	TF binding site
16	79022351	79022573	TF binding site
7	105830984	105831479	TF binding site
3	13535878	13536217	TF binding site
7	71791194	71791840	TF binding site
4	178208434	178208765	TF binding site
10	82796183	82796346	TF binding site
5	62086972	62087228	TF binding site
19	5563146	5563458	TF binding site
22	19726497	19726746	TF binding site
11	80431179	80432104	TF binding site
10	23022986	23023508	TF binding site
22	17047208	17047231	TF binding site
18	19943906	19944174	TF binding site
15	40998358	40998726	TF binding site
8	22866044	22866631	TF binding site
16	78517270	78517898	TF binding site
7	92722106	92722387	TF binding site
16	4956492	4956868	TF binding site
6	8175294	8175591	TF binding site
2	174545392	174545682	TF binding site
11	118496687	118496959	TF binding site
13	56145609	56145823	TF binding site
11	88166747	88167030	TF binding site
X	35514182	35514465	TF binding site
2	233011024	233011353	TF binding site
13	103623003	103623249	TF binding site
18	18966878	18967152	TF binding site
16	85573327	85573585	TF binding site
9	69728750	69729259	TF binding site
5	21469812	21470197	TF binding site
3	63141635	63142054	TF binding site
4	7215549	7215927	TF binding site
4	81082290	81083068	TF binding site
7	140920892	140921160	TF binding site
4	5461913	5462296	TF binding site
1	23785781	23786304	TF binding site
14	76421484	76421974	TF binding site
8	39901170	39901736	TF binding site
GL000215.1	84464	84774	TF binding site
8	138107455	138107745	TF binding site
11	107279356	107280000	TF binding site
18	14928368	14928754	TF binding site
19	1554503	1554800	TF binding site
13	86077930	86078253	TF binding site
8	109678983	109679604	TF binding site
20	30037406	30037882	TF binding site
9	140003153	140003427	TF binding site
1	204092340	204092948	TF binding site
14	28764095	28764369	TF binding site
7	101997816	101998172	TF binding site
3	64116897	64117386	TF binding site
3	52854762	52855183	TF binding site
5	37417475	37417782	TF binding site
1	52218100	52218676	TF binding site
1	165562171	165562605	TF binding site
1	178330938	178331229	TF binding site
8	127234068	127234398	TF binding site
17	59183721	59184080	TF binding site
7	149066565	149067054	TF binding site
6	28369967	28370290	TF binding site
1	18325508	18325705	TF binding site
20	49316286	49316505	TF binding site
22	22948481	22948870	TF binding site
4	6475911	6476225	TF binding site
14	43475084	43475350	TF binding site
1	97861916	97862293	TF binding site
3	9930203	9930558	TF binding site
1	154253708	154253943	TF binding site
4	103184133	103184578	TF binding site
3	136217839	136218240	TF binding site
7	47842530	47842895	TF binding site
12	10923733	10924071	TF binding site
13	44376694	44376943	TF binding site
22	18839761	18840214	TF binding site
GL000195.1	2	807	TF binding site
7	34127671	34128130	TF binding site
12	74499291	74499475	TF binding site
13	33718542	33718785	TF binding site
4	5221803	5222115	TF binding site
7	96751060	96751571	TF binding site
5	88338564	88339103	TF binding site
5	177683838	177684124	TF binding site
8	42310402	42310888	TF binding site
12	19550476	19550748	TF binding site
16	53383926	53384146	TF binding site
17	31319380	31319702	TF binding site
20	59325247	59325639	TF binding site
3	64936919	64937180	TF binding site
4	147975303	147975785	TF binding site
2	31805231	31806269	TF binding site
2	202545457	202545876	TF binding site
8	111571810	111572146	TF binding site
3	108338944	108339604	TF binding site
11	126127769	126128056	TF binding site
11	117939297	117939753	TF binding site
4	133029996	133030264	TF binding site
2	4694823	4695220	TF binding site
14	79627989	79628255	TF binding site
2	123190665	123191194	TF binding site
1	28702668	28703309	TF binding site
7	75224289	75224450	TF binding site
11	28463643	28464191	TF binding site
12	69193975	69194436	TF binding site
3	130105242	130105948	TF binding site
5	153753250	153753679	TF binding site
3	38166162	38166596	TF binding site
21	32831785	32832140	TF binding site
4	117219271	117219543	TF binding site
1	75597156	75597665	TF binding site
2	17096503	17096984	TF binding site
16	70365237	70365881	TF binding site
2	24244005	24244722	TF binding site
4	56481348	56481620	TF binding site
4	163773853	163774142	TF binding site
15	89517706	89518031	TF binding site
15	76933382	76933588	TF binding site
5	72596578	72596889	TF binding site
5	78916925	78917229	TF binding site
11	73748346	73748700	TF binding site
6	29110009	29110453	TF binding site
8	59008149	59008965	TF binding site
1	214241632	214242031	TF binding site
3	154993769	154994529	TF binding site
11	4427464	4427730	TF binding site
12	89362947	89363359	TF binding site
9	494740	495056	TF binding site
9	128238980	128240077	TF binding site
2	132269144	132269512	TF binding site
13	51695005	51695386	TF binding site
14	39614634	39615147	TF binding site
1	217778397	217778972	TF binding site
9	99215984	99216221	TF binding site
17	58834717	58834891	TF binding site
17	13159922	13160182	TF binding site
19	50302940	50303297	TF binding site
7	137692749	137693178	TF binding site
9	21524164	21524652	TF binding site
3	138660097	138660648	TF binding site
17	44852993	44853226	TF binding site
20	53066625	53067052	TF binding site
1	5681035	5681446	TF binding site
16	72852459	72852687	TF binding site
5	85796888	85797090	TF binding site
9	88439884	88440221	TF binding site
5	105703012	105703475	TF binding site
9	131060043	131060300	TF binding site
11	125323821	125323956	TF binding site
13	77190926	77191276	TF binding site
7	86230315	86230562	TF binding site
X	48355043	48355456	TF binding site
17	2605612	2606145	TF binding site
17	57083016	57083435	TF binding site
17	66523474	66523823	TF binding site
11	1742621	1742903	TF binding site
12	110922586	110922765	TF binding site
17	59737943	59738463	TF binding site
3	98547942	98550978	TF binding site
17	59775329	59776026	TF binding site
14	59480250	59480354	TF binding site
2	189377241	189377511	TF binding site
7	16249896	16250113	TF binding site
2	14921237	14921643	TF binding site
16	63389862	63390117	TF binding site
13	107772580	107772991	TF binding site
11	17725500	17725915	TF binding site
5	107674945	107675285	TF binding site
3	149699861	149700092	TF binding site
18	730267	730483	TF binding site
2	135249273	135249810	TF binding site
9	21969585	21969949	TF binding site
1	12981640	12981915	TF binding site
3	183220665	183220953	TF binding site
13	33533812	33534048	TF binding site
5	147048026	147048248	TF binding site
5	10685214	10685485	TF binding site
4	28559419	28559678	TF binding site
4	42282848	42283052	TF binding site
1	168164928	168165217	TF binding site
20	53527699	53527893	TF binding site
6	64434630	64434934	TF binding site
8	136739	137527	TF binding site
4	86497175	86497708	TF binding site
1	165336575	165337025	TF binding site
17	10534433	10534720	TF binding site
3	8677424	8677659	TF binding site
22	22056356	22057431	TF binding site
16	68009370	68009681	TF binding site
17	3917460	3918184	TF binding site
5	10319251	10320303	TF binding site
1	114463122	114463466	TF binding site
2	131886458	131886669	TF binding site
1	45725974	45726405	TF binding site
18	33864624	33865051	TF binding site
8	103145347	103145669	TF binding site
9	133784913	133787322	TF binding site
11	85641936	85642542	TF binding site
1	21452813	21453149	TF binding site
1	79510666	79510984	TF binding site
9	2853591	2854004	TF binding site
2	241614420	241615464	TF binding site
14	105734270	105734545	TF binding site
12	124102973	124103374	TF binding site
16	57098940	57099267	TF binding site
3	185630312	185630540	TF binding site
4	69568928	69569187	TF binding site
8	112099037	112099313	TF binding site
15	40094069	40094484	TF binding site
7	46816444	46816634	TF binding site
17	58322617	58323011	TF binding site
5	114389967	114390449	TF binding site
1	120219233	120219479	TF binding site
1	70166584	70166810	TF binding site
22	19390677	19391240	TF binding site
7	153067250	153067576	TF binding site
3	157299785	157300094	TF binding site
17	45155009	45155305	TF binding site
10	44733115	44733548	TF binding site
6	108819138	108819479	TF binding site
2	12481960	12482347	TF binding site
15	76528701	76529062	TF binding site
2	17487525	17487898	TF binding site
8	143364769	143365414	TF binding site
X	55193670	55193910	TF binding site
X	84614133	84614326	TF binding site
22	48179826	48180049	TF binding site
4	102010383	102010642	TF binding site
12	119360240	119360544	TF binding site
16	10738669	10739165	TF binding site
2	70193229	70193484	TF binding site
4	71564157	71564480	TF binding site
2	106505131	106505409	TF binding site
2	12350571	12351093	TF binding site
11	93092640	93092870	TF binding site
18	14638057	14638380	TF binding site
17	58569021	58569627	TF binding site
8	27478780	27479554	TF binding site
5	63643200	63643468	TF binding site
X	17626820	17627657	TF binding site
17	4685904	4686336	TF binding site
7	45551329	45551711	TF binding site
19	35518814	35519540	TF binding site
9	21653151	21653369	TF binding site
X	2295903	2296431	TF binding site
20	53089911	53090474	TF binding site
16	20609904	20610774	TF binding site
17	66024995	66025387	TF binding site
17	58262404	58262721	TF binding site
22	40543408	40543697	TF binding site
14	95813240	95813525	TF binding site
16	18305851	18306916	TF binding site
17	59424822	59425193	TF binding site
1	96504182	96504575	TF binding site
7	16457619	16458005	TF binding site
1	114500684	114500989	TF binding site
1	29572344	29572713	TF binding site
4	7705468	7705803	TF binding site
14	72088738	72089108	TF binding site
4	155286677	155286799	TF binding site
9	27019618	27019947	TF binding site
2	146526570	146526924	TF binding site
7	80680341	80680621	TF binding site
15	97013361	97013609	TF binding site
9	113334129	113334399	TF binding site
14	94988316	94989036	TF binding site
19	13938464	13938785	TF binding site
9	130943709	130944265	TF binding site
10	51466169	51466468	TF binding site
20	47976836	47977375	TF binding site
15	83796465	83796842	TF binding site
15	32893615	32894138	TF binding site
22	30834509	30834958	TF binding site
9	140156574	140157079	TF binding site
20	55744987	55747487	TF binding site
19	1107965	1110106	TF binding site
22	23032485	23032742	TF binding site
19	53785171	53785613	TF binding site
6	96096584	96096870	TF binding site
7	2422249	2422573	TF binding site
X	151804392	151804793	TF binding site
5	53557515	53557743	TF binding site
X	49306095	49306497	TF binding site
14	45671178	45671458	TF binding site
12	103277005	103277366	TF binding site
5	132825328	132825737	TF binding site
6	64101117	64101952	TF binding site
4	70482835	70483155	TF binding site
5	794211	794312	TF binding site
5	39611234	39611509	TF binding site
6	38013474	38013962	TF binding site
6	107200564	107200938	TF binding site
19	21909504	21909889	TF binding site
18	21125284	21125729	TF binding site
2	212822614	212823136	TF binding site
19	5404012	5404468	TF binding site
2	164430222	164430498	TF binding site
2	108756039	108756316	TF binding site
6	71302443	71302750	TF binding site
17	57949652	57950197	TF binding site
12	131011402	131011696	TF binding site
19	57445878	57446535	TF binding site
20	60599026	60599376	TF binding site
14	63380822	63381112	TF binding site
12	103673344	103673594	TF binding site
4	41736372	41736849	TF binding site
10	65803870	65804353	TF binding site
9	131795409	131795907	TF binding site
2	167909406	167909687	TF binding site
13	64867907	64868541	TF binding site
3	194605371	194605863	TF binding site
X	599473	599993	TF binding site
19	35372859	35373291	TF binding site
6	99780998	99781310	TF binding site
22	21967271	21967618	TF binding site
6	50958765	50959071	TF binding site
6	50690953	50691214	TF binding site
4	155424774	155425148	TF binding site
9	133981270	133982241	TF binding site
6	132994504	132994896	TF binding site
8	11596955	11597314	TF binding site
21	22610946	22611753	TF binding site
14	102356294	102356638	TF binding site
8	144366700	144367294	TF binding site
12	75040694	75040997	TF binding site
3	9664374	9664488	TF binding site
6	152168221	152168534	TF binding site
9	69184146	69184512	TF binding site
2	25945783	25945946	TF binding site
6	44835940	44836104	TF binding site
5	135717819	135718178	TF binding site
7	98984532	98984882	TF binding site
15	95244774	95245167	TF binding site
10	5527623	5527913	TF binding site
10	82515800	82516119	TF binding site
6	87739499	87739781	TF binding site
8	54972265	54972606	TF binding site
1	110141439	110141653	TF binding site
20	7066232	7066532	TF binding site
7	13866427	13866750	TF binding site
20	41820621	41821003	TF binding site
12	130399150	130399514	TF binding site
9	125016507	125017106	TF binding site
7	111369630	111369897	TF binding site
10	50426479	50426799	TF binding site
3	147076576	147076849	TF binding site
22	36874882	36875540	TF binding site
10	38023934	38024342	TF binding site
7	3688938	3689171	TF binding site
13	104124109	104124597	TF binding site
7	129417418	129417587	TF binding site
5	156496867	156497368	TF binding site
3	103328386	103328648	TF binding site
1	85005451	85005467	TF binding site
4	24220209	24221551	TF binding site
7	33259747	33260263	TF binding site
5	124782732	124783145	TF binding site
6	94854494	94854865	TF binding site
4	4065489	4065793	TF binding site
2	197471126	197471609	TF binding site
22	19729450	19729918	TF binding site
16	23241074	23241444	TF binding site
10	133467844	133468296	TF binding site
1	180649740	180650059	TF binding site
4	147569174	147570057	TF binding site
5	72466427	72466702	TF binding site
3	192847450	192847735	TF binding site
19	12822809	12823324	TF binding site
18	29495334	29495631	TF binding site
2	31961775	31962125	TF binding site
15	42317557	42317847	TF binding site
2	14928961	14929202	TF binding site
5	177154858	177155224	TF binding site
2	218306005	218306428	TF binding site
X	54599683	54599967	TF binding site
6	114492002	114492743	TF binding site
19	42810713	42811076	TF binding site
3	183958205	183958582	TF binding site
6	129128737	129129080	TF binding site
7	46987450	46987746	TF binding site
5	2200588	2201090	TF binding site
1	170629326	170629943	TF binding site
11	34993510	34994284	TF binding site
1	17811744	17812144	TF binding site
3	87447196	87447779	TF binding site
